"DATE","VALUE"
"2000-10-01",34.42143
"2000-11-01",34.42143
"2000-12-01",34.42143
"2001-01-01",34.76154
"2001-02-01",34.76154
"2001-03-01",34.87491
"2001-04-01",34.98828
"2001-05-01",34.87491
"2001-06-01",35.10165
"2001-07-01",35.21502
"2001-08-01",35.55513
"2001-09-01",35.6685
"2001-10-01",36.00861
"2001-11-01",36.23535
"2001-12-01",36.46209
"2002-01-01",36.46209
"2002-02-01",36.46209
"2002-03-01",36.46209
"2002-04-01",36.68883
"2002-05-01",36.57546
"2002-06-01",36.57546
"2002-07-01",36.57546
"2002-08-01",36.46209
"2002-09-01",36.46209
"2002-10-01",36.46209
"2002-11-01",36.68883
"2002-12-01",36.8022
"2003-01-01",36.57546
"2003-02-01",36.68883
"2003-03-01",36.68883
"2003-04-01",36.8022
"2003-05-01",36.91557
"2003-06-01",37.14231
"2003-07-01",37.02894
"2003-08-01",36.91557
"2003-09-01",36.91557
"2003-10-01",36.8022
"2003-11-01",36.57546
"2003-12-01",36.46209
"2004-01-01",36.46209
"2004-02-01",36.34872
"2004-03-01",36.57546
"2004-04-01",36.34872
"2004-05-01",36.34872
"2004-06-01",36.34872
"2004-07-01",36.23535
"2004-08-01",36.12198
"2004-09-01",36.12198
"2004-10-01",36.23535
"2004-11-01",36.12198
"2004-12-01",36.12198
"2005-01-01",36.00861
"2005-02-01",36.12198
"2005-03-01",35.89524
"2005-04-01",35.89524
"2005-05-01",35.78187
"2005-06-01",35.6685
"2005-07-01",35.6685
"2005-08-01",35.55513
"2005-09-01",35.6685
"2005-10-01",35.6685
"2005-11-01",35.6685
"2005-12-01",35.55513
"2006-01-01",35.32839
"2006-02-01",35.44176
"2006-03-01",35.32839
"2006-04-01",35.32839
"2006-05-01",35.21502
"2006-06-01",35.21502
"2006-07-01",35.32839
"2006-08-01",35.32839
"2006-09-01",35.10165
"2006-10-01",34.98828
"2006-11-01",35.10165
"2006-12-01",34.98828
"2007-01-01",35.21502
"2007-02-01",35.10165
"2007-03-01",34.98828
"2007-04-01",35.10165
"2007-05-01",34.98828
"2007-06-01",35.21502
"2007-07-01",35.32839
"2007-08-01",35.21502
"2007-09-01",35.32839
"2007-10-01",35.32839
"2007-11-01",35.32839
"2007-12-01",35.6685
"2008-01-01",35.6685
"2008-02-01",35.55513
"2008-03-01",35.78187
"2008-04-01",35.6685
"2008-05-01",36.12198
"2008-06-01",36.34872
"2008-07-01",36.57546
"2008-08-01",36.91557
"2008-09-01",36.91557
"2008-10-01",37.36905
"2008-11-01",37.70916
"2008-12-01",38.27601
"2009-01-01",38.84286
"2009-02-01",39.40971
"2009-03-01",39.86319
"2009-04-01",40.08993
"2009-05-01",40.65678
"2009-06-01",40.77015
"2009-07-01",40.77015
"2009-08-01",40.88352
"2009-09-01",41.11026
"2009-10-01",41.337
"2009-11-01",41.22363
"2009-12-01",41.22363
"2010-01-01",40.99689
"2010-02-01",41.11026
"2010-03-01",41.11026
"2010-04-01",41.22363
"2010-05-01",40.88352
"2010-06-01",40.65678
"2010-07-01",40.77015
"2010-08-01",40.88352
"2010-09-01",40.77015
"2010-10-01",40.77015
"2010-11-01",41.11026
"2010-12-01",40.65678
"2011-01-01",40.31667
"2011-02-01",40.2033
"2011-03-01",40.08993
"2011-04-01",40.2033
"2011-05-01",40.2033
"2011-06-01",40.31667
"2011-07-01",40.31667
"2011-08-01",40.31667
"2011-09-01",40.2033
"2011-10-01",40.08993
"2011-11-01",39.86319
"2011-12-01",39.63645
"2012-01-01",39.40971
