Name in English,Number of speakers,Degree of endangerment,Latitude,Longitude
Kurux (Bangladesh),65000,Vulnerable,25.8196,88.9672
Tz'utujil,63237,Definitely endangered,14.6394,-91.2301
Chamorro,62500,Vulnerable,13.4323,144.7338
Ashaninka (Peru),62468,Vulnerable,-10.6929,-74.3444
Chang,62000,Vulnerable,26.2934,94.9493
Kuna (Panama),61703,Vulnerable,9.5983,-79.6334
Churahi,61199,Definitely endangered,33.1835,76.5747
Nruanghmei,61000,Vulnerable,24.9661,93.5375
Rengma,61000,Vulnerable,25.958,94.2462
Faroese,60000,Vulnerable,62.0112,-6.7785
Northern Tujia,60000,Severely endangered,28.828,109.5904
Torwali,60000,Definitely endangered,35.5833,72.5
Chuj (Guatemala),59048,Vulnerable,15.8259,-91.4783
Kachari,59000,Definitely endangered,25.2844,93.2189
Scottish Gaelic,58552,Definitely endangered,58.1011,-6.7675
Sierra de Puebla Náhuatl,57189,Definitely endangered,19.6223,-97.8149
Limonese Creole,55000,Definitely endangered,9.9916,-83.0316
Kashubian,53000,Severely endangered,54.2267,18.1713
Khakas,52217,Definitely endangered,53.7746,90.3735
Parji,51216,Critically endangered,18.5629,82.8039
Arvanitika,50000,Severely endangered,38.1863,23.6096
Buryat (Cis-Baikal),50000,Severely endangered,52.7961,104.8809
Buryat (Manchuria),50000,Definitely endangered,49.8096,119.7509
Cuona Menba,50000,Vulnerable,26.8279,95.3623
Eastern Cham,50000,Definitely endangered,10.7833,108.0833
Hmar,50000,Vulnerable,24.577,93.3178
Huzhu Monguor,50000,Severely endangered,36.7608,102.4255
Paite,50000,Vulnerable,24.1968,93.3563
Quichua (Imbabura),50000,Definitely endangered,0.1757,-78.2006
Soqotri,50000,Severely endangered,12.5331,53.767
Southern Altay,50000,Definitely endangered,51.069,86.5942
Transylvanian Saxon,50000,Severely endangered,46.214,24.2413
Turoyo,50000,Severely endangered,37.405,41.3745
Võro-Seto,50000,Definitely endangered,57.8096,27.29
West Greenlandic,50000,Vulnerable,64.1681,-51.7236
Western Armenian (Turkey),50000,Definitely endangered,41.0213,28.9324
Zaramo,50000,Definitely endangered,-6.922,39.2409
Zenatiya,50000,Critically endangered,35.5702,1.8099
Papantla Totonac,49748,Definitely endangered,20.4477,-97.32
Wancho,49000,Vulnerable,26.9759,95.4656
Bhumji,47000,Vulnerable,21.8003,86.8139
Cosung (China),47000,Definitely endangered,22.6833,102.6666
Cosung (Viet Nam),47000,Definitely endangered,22.6166,102.75
Baheng (China),45000,Vulnerable,26.19,110.24
Lumun,45000,Definitely endangered,10.8387,30.0338
Quichua (Loja),45000,Severely endangered,-3.6236,-79.2388
Chamling,44093,Definitely endangered,27.0499,86.7329
Irish,44000,Definitely endangered,53.7876,-9.1845
Reshe,44000,Vulnerable,10.8791,4.6115
Sierra Otomí,43468,Vulnerable,20.1021,-97.622
Phuthi,43000,Definitely endangered,-29.3791,28.2838
Rarotongan,43000,Vulnerable,-21.2343,-159.7837
Khalaj,42100,Vulnerable,34.3751,50.3063
Dungan,41000,Definitely endangered,42.4518,78.4643
Kheza,41000,Vulnerable,25.6811,94.367
Jola-Kassa,40850,Vulnerable,13.1089,-15.8999
Sat?r,40260,Vulnerable,26.5541,87.918
Guaraní Boliviano,40000,Vulnerable,-20.1694,-63.8525
Gutob,40000,Vulnerable,18.7086,83.5839
Kheng,40000,Vulnerable,27.0786,91.0272
Laro,40000,Definitely endangered,10.7685,29.902
Minyong,40000,Vulnerable,28.2632,95.0537
Mru,40000,Severely endangered,21.7748,92.2741
Patani Malay,40000,Vulnerable,6.6482,100.0387
"Quechua of Cajatambo, Pasco and northern Junín",40000,Severely endangered,-10.6147,-76.506
Quichua (Napo),40000,Definitely endangered,-0.6371,-77.1459
Tangsa,40000,Vulnerable,27.4059,96.427
Tetserret,40000,Severely endangered,15.4907,6.2072
Awajun,39000,Vulnerable,-4.3464,-77.8271
Khiamngan,38000,Vulnerable,26.0518,95.1031
Ngile,38000,Severely endangered,10.7901,29.8635
Phunoi,37311,Vulnerable,21.6833,102.1
Lower Mixe,37000,Vulnerable,16.9616,-95.093
Maram,37000,Vulnerable,25.185,93.9715
Western Mari,36822,Severely endangered,56.3317,46.5545
Chepang,36807,Vulnerable,27.7552,84.8144
Chontal Tabasco,36514,Severely endangered,17.7607,-92.5936
Muji,36500,Definitely endangered,23.6,102.7333
Akatek (Guatemala),35763,Vulnerable,15.5724,-91.4218
Huichol,35724,Vulnerable,22.65,-103.5833
Romansh,35095,Definitely endangered,46.5777,9.6954
Apatani,35000,Vulnerable,27.5228,93.8177
Galo,35000,Vulnerable,28.1688,94.7433
Korwa,35000,Vulnerable,22.4922,84.1552
Shuar chicham,35000,Definitely endangered,-2.8826,-78.0303
Ticuna,35000,Definitely endangered,-4.3464,-70.0048
Wanka Quechua,35000,Severely endangered,-12.136,-75.2453
Sikuani,34614,Vulnerable,3.4256,-68.8183
Jakaltek (Guatemala),34038,Definitely endangered,15.6685,-91.7111
